company_code,dt,attn_volume,greed_count,mean_greed_score,greed_ratio
190510,2017-07-27,4,0,2.0,0.0
190510,2017-07-28,16,3,1.5625,0.1875
000660,2017-07-30,134,27,1.9850746268656716,0.20149253731343283
000660,2017-07-31,321,106,2.143302180685358,0.3302180685358255
000660,2017-08-01,261,71,1.946360153256705,0.2720306513409962
000660,2017-08-02,239,61,2.00418410041841,0.25523012552301255
000660,2017-08-03,238,70,2.008403361344538,0.29411764705882354
000660,2017-08-04,359,92,1.9136490250696379,0.2562674094707521
000660,2017-08-05,103,23,1.9320388349514563,0.22330097087378642
005380,2017-07-30,17,4,2.235294117647059,0.23529411764705882
005380,2017-07-31,72,22,1.9166666666666667,0.3055555555555556
005380,2017-08-01,27,5,1.5185185185185186,0.18518518518518517
005380,2017-08-02,46,6,1.434782608695652,0.13043478260869565
005380,2017-08-03,30,11,2.066666666666667,0.36666666666666664
005380,2017-08-04,19,11,2.3684210526315788,0.5789473684210527
005380,2017-08-05,10,5,2.6,0.5
005930,2017-07-30,63,10,1.8412698412698412,0.15873015873015872
005930,2017-07-31,191,46,1.9005235602094241,0.24083769633507854
005930,2017-08-01,156,37,1.8525641025641026,0.23717948717948717
005930,2017-08-02,101,34,2.0693069306930694,0.33663366336633666
005930,2017-08-03,353,95,1.8980169971671388,0.26912181303116145
005930,2017-08-04,120,23,1.775,0.19166666666666668
005930,2017-08-05,68,3,1.8970588235294117,0.04411764705882353
033100,2017-07-30,15,4,2.0,0.26666666666666666
033100,2017-07-31,10,3,2.2,0.3
033100,2017-08-01,11,1,1.6363636363636365,0.09090909090909091
033100,2017-08-02,16,5,2.3125,0.3125
033100,2017-08-03,11,3,2.1818181818181817,0.2727272727272727
033100,2017-08-04,4,1,2.5,0.25
033100,2017-08-05,3,0,2.0,0.0
080220,2017-07-31,1,0,2.0,0.0
080220,2017-08-01,1,0,2.0,0.0
080220,2017-08-02,2,0,2.0,0.0
080220,2017-08-03,1,0,2.0,0.0
080220,2017-08-04,3,0,1.3333333333333333,0.0
105560,2017-07-30,1,0,2.0,0.0
105560,2017-07-31,4,0,2.0,0.0
105560,2017-08-01,5,1,1.6,0.2
105560,2017-08-02,10,4,2.2,0.4
105560,2017-08-03,13,1,1.6923076923076923,0.07692307692307693
105560,2017-08-04,9,4,2.2222222222222223,0.4444444444444444
105560,2017-08-05,2,2,3.0,1.0
190510,2017-07-30,2,1,2.5,0.5
190510,2017-07-31,11,4,2.0,0.36363636363636365
190510,2017-08-01,5,0,1.6,0.0
190510,2017-08-02,4,2,3.0,0.5
190510,2017-08-03,2,1,1.5,0.5
190510,2017-08-04,1,1,3.0,1.0
000660,2017-08-06,58,14,1.896551724137931,0.2413793103448276
000660,2017-08-07,231,65,1.9696969696969697,0.2813852813852814
000660,2017-08-08,402,127,2.101990049751244,0.31592039800995025
000660,2017-08-09,369,113,2.029810298102981,0.3062330623306233
000660,2017-08-10,218,75,2.096330275229358,0.3440366972477064
000660,2017-08-11,488,147,1.9610655737704918,0.3012295081967213
000660,2017-08-12,110,28,1.9090909090909092,0.2545454545454545
005380,2017-08-06,9,3,2.5555555555555554,0.3333333333333333
005380,2017-08-07,39,6,1.8974358974358974,0.15384615384615385
005380,2017-08-08,104,18,1.6346153846153846,0.17307692307692307
005380,2017-08-09,46,18,2.369565217391304,0.391304347826087
005380,2017-08-10,105,17,1.819047619047619,0.1619047619047619
005380,2017-08-11,81,12,1.8641975308641976,0.14814814814814814
