date,close,net_profit
31/03/2017,49000,8.70101E+11
03/04/2017,49200,9.90081E+11
04/04/2017,48650,9.90081E+11
05/04/2017,49000,9.90081E+11
06/04/2017,48700,9.90081E+11
07/04/2017,48600,9.90081E+11
10/04/2017,47500,9.90081E+11
11/04/2017,47400,9.90081E+11
12/04/2017,47000,9.90081E+11
13/04/2017,48550,9.90081E+11
14/04/2017,48250,9.90081E+11
17/04/2017,50400,9.90081E+11
18/04/2017,49850,9.90081E+11
19/04/2017,50100,9.90081E+11
20/04/2017,50000,9.90081E+11
21/04/2017,50600,9.90081E+11
24/04/2017,51200,9.90081E+11
25/04/2017,52000,9.90081E+11
26/04/2017,51400,9.90081E+11
27/04/2017,51100,9.90081E+11
